name,brand,price
"
            Yamaha YBR125        ",yamaha,"
            Rs. 336,000        "
"
            Yamaha YB125Z-DX        ",yamaha,"
            Rs. 366,500        "
"
            Yamaha YBR125G        ",yamaha,"
            Rs. 394,500        "
"
            Yamaha YB125Z        ",yamaha,"
            Rs. 342,500        "
